OrderID,Date,Region,Product,SalesRep,Units,UnitPrice,Revenue
1143.0,04-14-2026,East,widget a,L. Garcia,3.0,29.99,
1167.0,2026-05-15,West,Widget A,A. Khan,3.0,9.99,
1158.0,04/05/2026,West,Widget B,R. Patel,5.0,9.99,
1036.0,04-21-2026,East,Widget D,R. Patel,3.0,,
1021.0,2026-01-30,SOUTH,widget a,M. Chen,-1.0,19.99,
,,,,,,,
1066.0,03-27-2026, East ,Widget D,A. Khan,2.0,9.99,
1191.0,04-08-2026, East ,Widget B ,M. Chen,,9.99,
1141.0,2026-02-08,East,Widget B,J. Smith,,9.99,
1024.0,02-20-2026,South,Widget C,A. Khan,5.0,49.99,
1100.0,01-07-2026,North,Widget B ,R. Patel,1.0,29.99,
1148.0,2026-05-01,East,Widget D,M. Chen,2.0,,
1011.0,04/04/2026,South,Widget C,M. Chen,1.0,19.99,
1055.0,2026-05-22,East,Widget B ,J. Smith,1.0,19.99,
1119.0,03-12-2026,north,Widget A,L. Garcia,1.0,,
1014.0,2026-02-28, East ,Widget A,M. Chen,3.0,19.99,
1127.0,03-14-2026,North,Widget B,M. Chen,1.0,19.99,
1025.0,2026-03-24,West,Widget A,J. Smith,2.0,19.99,
1120.0,2026-04-15,West,widget a,A. Khan,10.0,29.99,
1042.0,2026-02-12,West,Widget A,R. Patel,2.0,29.99,
1186.0,17/04/2026,South,Widget B,A. Khan,-1.0,49.99,
1031.0,06/01/2026,north,widget a,A. Khan,5.0,9.99,
1128.0,2026-03-19,North,Widget B ,L. Garcia,1.0,19.99,
1091.0,2026-03-11,East,Widget C,L. Garcia,,9.99,
1188.0,28/03/2026, East ,Widget A,R. Patel,,9.99,
1109.0,2026-03-21,north,Widget B ,R. Patel,3.0,9.99,
1065.0,2026-02-11, East ,Widget B,R. Patel,,9.99,
1096.0,18/03/2026, East ,Widget D,R. Patel,5.0,49.99,
1197.0,15/04/2026,East,Widget A,M. Chen,1.0,29.99,
1026.0,2026-01-15,South,widget a,J. Smith,,29.99,
1075.0,03-22-2026,SOUTH,Widget A,M. Chen,5.0,19.99,
1147.0,04-24-2026,East,Widget B,L. Garcia,3.0,29.99,
1054.0,20/05/2026,SOUTH,Widget C,L. Garcia,-1.0,49.99,
1159.0,18/02/2026,north,widget a,A. Khan,-1.0,,
1150.0,01-10-2026,West,Widget A,M. Chen,2.0,19.99,
1099.0,02/02/2026,north,widget a,J. Smith,3.0,49.99,
